New Hampshire,44°00′N 71°30′W,,region,"states, united, england","New Hampshire (/ˈhæmpʃər/) is a state in the New England region of the northeastern United States. It is bordered by Massachusetts to the south, Vermont to the west, Maine and the Atlantic Ocean to the east, and the Canadian province of Quebec to the north. New Hampshire is the 5th smallest by area and the 10th least populous U.S. state.","de:New Hampshire, es:Nuevo Hampshire, fr:New Hampshire, nl:New Hampshire"
Genetics,,,science,genetics,"Genetics is a branch of biology concerned with the study of genes, genetic variation, and heredity in organisms.","de:Genetik, es:Genética, fr:Génétique, nl:Genetica"
Futurama,,,culture,"television, series, american","Futurama is an American animated science fiction sitcom created by Matt Groening for the Fox Broadcasting Company. The series follows the adventures of a late-20th-century New York City pizza delivery boy, Philip J. Fry, who, after being unwittingly cryogenically frozen for one thousand years, finds employment at Planet Express, an interplanetary delivery company in the retro-futuristic 31st century. The series was envisioned by Groening in the late 1990s while working on The Simpsons, later bringing Cohen aboard to develop storylines and characters to pitch the show to Fox.","de:Futurama, es:Futurama, fr:Futurama, nl:Futurama (televisieserie)"
Cancún,21°09′38″N 86°50′51″W,,region,"quintana, cancún, caribbean","Cancún (/kaːnˈkuːn/; Spanish pronunciation: [kaŋˈkun]) is a city in southeastern Mexico, located on the northeast coast of the Yucatán Peninsula in the Mexican state of Quintana Roo. It is an important renowned tourist destination in Mexico, as well as being the seat of the municipality of Benito Juárez. The city is located on the Caribbean Sea, and is one of the easternmost points in Mexico. Cancún is located just north of Mexico's Caribbean coast resort band known as the Riviera Maya. In older English-language documents, the city’s name is sometimes spelled ""Cancoon"".","de:Cancún, es:Cancún, fr:Cancún, nl:Cancun"
E.T. the Extra-Terrestrial,,,culture,"films, best, academy","E.T. the Extra-Terrestrial is a 1982 American science fiction film produced and directed by Steven Spielberg, and written by Melissa Mathison. It features special effects by Carlo Rambaldi and Dennis Muren, and stars Dee Wallace, Peter Coyote, and Henry Thomas with supporting roles by Robert MacNaughton, Drew Barrymore, and Pat Welsh. It tells the story of Elliott (Thomas), a boy who befriends an extraterrestrial, dubbed ""E.T."" (Welsh), who is stranded on Earth. Elliott and his siblings help E.T. return to his home planet, while attempting to keep him hidden from the government.","de:E.T., es:E.T., el extraterrestre, fr:E.T., l'extra-terrestre, nl:E.T. the Extra-Terrestrial"
Ben Whishaw,,1980 ♂,culture,"actors, english, male","Benjamin John Whishaw (born 14 October 1980) is an English actor. After training at the Royal Academy of Dramatic Art, Whishaw has garnered acclaim for his film, television, and theatre work. After winning a British Independent Film Award for his performance in My Brother Tom (2001), Whishaw garnered acclaim portraying the title role in a 2004 production of Hamlet, receiving an Olivier Award nomination. This was followed by television roles in Nathan Barley (2005), Criminal Justice (2008) and The Hour (2011-12) and film roles in Perfume: The Story of a Murderer (2006), I'm Not There (2007), Brideshead Revisited (2008) and Bright Star (2009). For Criminal Justice, Whishaw received an International Emmy Award and received his first BAFTA Award nomination.","de:Ben Whishaw, es:Ben Whishaw, fr:Ben Whishaw, nl:Ben Whishaw"
Homo sapiens,,,nature,"humans, list, mammals","In taxonomy, Homo sapiens is the only extant human species. The name is Latin for ""wise man"" and was introduced in 1758 by Carl Linnaeus (who is himself also the type specimen).","de:Homo sapiens, es:Homo sapiens, fr:Homo sapiens"
Ghana,8°N 2°W,,region,"states, african, member","Ghana (i/ˈɡɑːnə/), officially called the Republic of Ghana, is a sovereign unitary presidential constitutional democracy, located along the Gulf of Guinea and Atlantic Ocean, in the subregion of West Africa. Spanning a land mass of 238,535 km2, Ghana is bordered by the Ivory Coast in the west, Burkina Faso in the north, Togo in the east and the Gulf of Guinea and Atlantic Ocean in the south. The word Ghana means ""Warrior King"" in Mande.","de:Ghana, es:Ghana, fr:Ghana, nl:Ghana"
Aspartame,,,health,"derivatives, esters, methyl","Aspartame is an artificial non-saccharide sweetener 200 times sweeter than sucrose, and is commonly used as a sugar substitute in foods and beverages. It is a methyl ester of the aspartic acid/phenylalanine dipeptide with the trade names, NutraSweet, Equal, and Canderel. Aspartame was first made in 1965 and approved for use in food products by the U.S. Food and Drug Administration (FDA) in 1981.","de:Aspartam, es:Aspartamo, fr:Aspartame, nl:Aspartaam"
Tinnitus,,,health,"process, perception, diseases","Tinnitus is the hearing of sound when no external sound is present. While often described as a ringing, it may also sound like a clicking, hiss or roaring. Rarely, unclear voices or music are heard. The sound may be soft or loud, low pitched or high pitched and appear to be coming from one ear or both. Most of the time, it comes on gradually. In some people, the sound causes depression, anxiety or interferes with concentration.","de:Tinnitus, es:Tinnitus, fr:Acouphène, nl:Tinnitus"
