"Aadam","m","EE",""
"Aadje","f","NL",""
"Aadu","m","LV, EE",""
"Aaf","f","NL",""
"Aafke","f","NL",""
"Aafkea","f","DE",""
"Aafko","m","NL",""
"Aage","m","DK, NO, SE",""
"Aagje","f","NL, BE",""
"Aagot","f","NO",""
"Aagoth","f","NO",""
"Aalbert","m","NL",""
"Aalderich","m","DE",""
"Aalderk","m","DE",""
"Aaldrik","m","NL",""
"Aale","m","FI",""
"Aaliyah","f","US","2010"
"Aalke","f","NL",""
"Aalt","m","NL",""
"Aaltien","f","DE, NL",""
"Aaltinus","m","DE",""
"Aaltje","f","NL, DE",""
"Aaltsje","f","NL",""
"Aamir","m","AR",""
"Aant","f","NL",""
"Aapeli","m","FI",""
"Aapo","m","FI",""
"Aappo","m","FI",""
"Aard","m","NL",""
"Aare","m","EE",""
"Aarent","m","NL",""
"Aarjan","m","NL",""
"Aarne","m","FI, EE",""
"Aarni","m","FI",""
"Aarno","m","FI",""
"Aarnoud","m","NL",""
"Aarnout","m","NL",""
"Aaro","m","FI, EE",""
"Aaron","m","US, IL, MT","1990"
"Aarón","m","ES",""
"Aarre","m","FI",""
"Aarron","m","UK",""
"Aart","m","NL",""
"Aarti","f","IN",""
"Aase","f","DK, NO, SE",""
"Aashild","f","NO",""
"Aat","m","NL",""
"Aatami","m","FI",""
"Aatos","m","FI",""
"Aatto","m","FI",""
"Aatu","m","FI",""
"Aave","f","EE",""
"Aavo","m","EE",""
"Ab","m","NL",""
"Abad","m","ES",""
"Abagail","f","US","2010"
"Abai","m","UZ, KZ",""
"Abas","m","AZ",""
"Abay","m","UZ, KZ",""
"Abaz","m","XK, BA, AL",""
"Abbas","m","AR, AZ, TR",""
"Abbe","f","US","1960"
"Abbey","f","UK, US","2000"
"Abbie","f","UK, US","2000"
"Abbigail","f","US","2010"
"Abbo","m","DE",""
"Abbondanza","f","IT",""
"Abbondanzio","m","IT",""
"Abbondio","m","IT",""
"Abby","f","US, UK","2000"
"Abd","m","AR",""
"Abdal","m","AR",""
"Abdal+Salam","m","AR",""
"Abdalla","m","AR",""
"Abdallah","m","AR",""
"Abdel","m","AR, UZ, KZ",""
"Abdel+Aziz","m","AR",""
"Abdel+Fattah","m","AR",""
"Abdel+Ghani","m","AR",""
"Abdel+Hafid","m","AR",""
"Abdel+Hafiz","m","AR",""
